Portfolio_ID,Stock,Weight
1,DTE,0.27371742805272925
1,ATO,0.05004232881225938
1,LHX,0.24413941465639719
1,CPAY,0.2620032322819782
1,WST,0.170097596196636
2,WST,0.037058933910345544
2,LHX,0.05391025075843646
2,DTE,0.041663110914870925
2,V,0.0310734621441331
2,PNR,0.04660783906914384
2,SW,0.010393171173040528
2,MAA,0.014880823674172148
2,VLTO,0.04542679116879893
2,ABBV,0.03802420813690209
2,CTAS,0.013194546514211637
2,HAS,0.002358054761505274
2,FSLR,0.007705668161040696
2,NRG,0.011869340515102541
2,BR,0.0262963416433667
2,VZ,0.010828505115061322
2,META,0.039458664007696896
2,ACN,4.324998007922012e-4
2,MOH,0.02059666659537825
2,WYNN,0.02821669035281151
2,ATO,8.614925732382874e-5
2,CPAY,0.03190259356860769
2,WEC,0.008661538877294718
2,MAR,0.019693698929183316
2,CARR,0.03541470024757901
2,PTC,0.042556064457026054
2,ED,0.030917593457030865
2,D,0.012819279972859046
2,GEV,0.004935681030081084
2,OTIS,0.004696059346425219
2,GOOGL,0.016742074588163746
2,MPWR,0.03661019652999661
2,REGN,1.3104140406468755e-5
2,LULU,0.011440640948617017
2,DIS,0.0511795111827204
2,CMI,0.05077418325262346
2,CSCO,0.04026710962266268
2,IVZ,0.018269922611044185
2,EIX,0.02825265301278988
2,DVN,0.04080907398249128
2,MTB,0.033962602568262855
3,WEC,0.01958209396273317
3,ABBV,0.06075268025612426
3,GOOGL,0.07577419079729471
3,BR,0.05060426440922437
3,V,0.052954987028819483
3,ROP,0.07860440504046365
3,WYNN,0.07131715359189839
3,PAYX,0.048620828677355996
3,WST,0.06887875122143368
3,CMI,0.009535863607348254
3,REGN,0.0641077284671382
3,FSLR,0.05229304965093506
3,CTAS,0.012447976683900335
3,MPWR,0.006730569534287297
3,CRM,0.038914509956115485
3,OTIS,0.06535384618975108
3,EIX,0.061509920234857254
3,GEV,0.06852878447738309
3,CSCO,0.014268959366360126
3,AMCR,0.07921943684657612
4,CMI,0.033022552348490955
4,HAS,0.05385173938368696
4,IVZ,0.029557852485716254
4,GEV,0.01035341695821133
4,LHX,0.032757426325831444
4,OTIS,0.05799891269552691
4,CSCO,0.018922446055163206
4,OMC,0.04949615243905763
4,DOC,0.01852253740847761
4,DTE,0.011187173639488878
4,EIX,0.0029164375420139455
4,NRG,0.01481987744365628
4,META,0.021179931277161102
4,SWKS,0.009592756237048432
4,WYNN,0.018344197358104265
4,ABBV,0.0010585730137578219
4,PTC,0.06011535497851992
4,REGN,0.04852366617559031
4,LYB,0.005222828373446864
4,PNR,0.052477253240209645
